time [s],channel_4_data.input_current_ma,channel_4_data.output_current_ma,
1.665e-06,0,0,
0.00124994,0,0,
0.00238693,0,0,
0.00300006,0,0,
0.00400005,0,0,
0.00512454,0,0,
0.00627672,0,0,
0.00795057,0,0,
0.00973885,0,0,
0.0111139,0,0,
0.0124147,0,0,
0.0137835,0,0,
0.0144433,0,0,
0.0150541,0,0,
0.0158571,0,0,
0.0164601,0,0,
0.017789,0,0,
0.0190178,0,0,
0.0196228,0,0,
0.0202224,0,0,
0.0208473,0,0,
0.0214724,0,0,
0.0220975,0,0,
0.0230001,0,0,
0.024,0,0,
0.0250001,0,0,
0.026,0,0,
0.0270001,0,0,
0.028,0,0,
0.0290001,0,0,
0.03,0,0,
0.0310809,0,0,
0.032,0,0,
0.033,0,0,
0.034,0,0,
0.035,0,0,
0.036,0,0,
0.0370001,0,0,
0.0380001,0,0,
0.039172,0,0,
0.0401556,0,0,
0.041,0,0,
0.042,0,0,
0.043,0,0,
0.044,0,0,
0.045,0,0,
0.046,0,0,
0.047,0,0,
0.0481472,0,0,
0.0492474,0,0,
0.050328,0,0,
0.0513955,0,0,
0.0526552,0,0,
0.053604,0,0,
0.0542609,0,0,
0.055,0,0,
0.056,0,0,
0.057,0,0,
0.058,0,0,
0.059,0,0,
0.06,0,0,
0.061,0,0,
0.062,0,0,
0.063,0,0,
0.064,0,0,
0.065,0,0,
0.066,0,0,
0.067,0,0,
0.068,0,0,
0.069,0,0,
0.07,0,0,
0.071,0,0,
0.072,0,0,
0.073,0,0,
0.074,0,0,
0.075,0,0,
0.076,0,0,
0.077,0,0,
0.078,0,0,
0.079,0,0,
0.08,0,0,
0.081,0,0,
0.082,0,0,
0.083,0,0,
0.084,0,0,
0.085,0,0,
0.086,0,0,
0.087,0,0,
0.088,0,0,
0.089,0,0,
0.09,0,0,
0.0910001,0,0,
0.0920422,0,0,
0.0934242,0,0,
0.0944735,0,0,
0.0952608,0,0,
0.0960001,0,0,
0.097,0,0,
0.0980001,0,0,
0.0990001,0,0,
0.1,0,0,
0.101,0,0,
0.102,0,0,
0.103,0,0,
0.104,0,0,
0.105,0,0,
0.106,0,0,
0.107096,0,0,
0.108,0,0,
0.109,0,0,
0.11,0,0,
0.111,0,0,
0.112,0,0,
0.113192,0,0,
0.114359,0,0,
0.115327,0,0,
0.116,0,0,
0.117,0,0,
0.118,0,0,
0.119,0,0,
0.12,0,0,
0.121,0,0,
0.122,0,0,
0.1231,0,0,
0.124,0,0,
0.125,0,0,
0.126,0,0,
0.127,0,0,
0.128,0,0,
0.129,0,0,
0.13,0,0,
0.131,0,0,
0.132,0,0,
0.133,0,0,
0.134,0,0,
0.135,0,0,
0.136,0,0,
0.137,0,0,
0.138,0,0,
0.139,0,0,
0.14,0,0,
0.141,0,0,
0.142,0,0,
0.143,0,0,
0.144,0,0,
0.145,0,0,
0.146,0,0,
0.147,0,0,
0.148,0,0,
0.149,0,0,
0.15,0,0,
0.151,0,0,
0.152,0,0,
0.153,0,0,
0.154,0,0,
0.155,0,0,
0.156,0,0,
0.157,0,0,
0.158,0,0,
0.159,0,0,
0.16,0,0,
0.161,0,0,
0.162,0,0,
0.163,0,0,
0.164406,0,0,
0.16564,0,0,
0.166966,0,0,
0.1679,0,0,
0.168426,0,0,
0.169,0,0,
0.17,0,0,
0.171,0,0,
0.172239,0,0,
0.173,0,0,
0.174,0,0,
0.175178,0,0,
0.176448,0,0,
0.1777,0,0,
0.178534,0,0,
0.179215,0,0,
0.18,0,0,
0.181,0,0,
0.182,0,0,
0.183,0,0,
0.184,0,0,
0.185,0,0,
0.186,0,0,
0.187,0,0,
0.188,0,0,
0.189,0,0,
0.190047,0,0,
0.191,0,0,
0.192,0,0,
0.193,0,0,
0.194,0,0,
0.195,0,0,
0.196,0,0,
0.197,0,0,
0.198,0,0,
0.199,0,0,
0.2,0,0,
0.201,0,0,
0.202,0,0,
0.203,0,0,
0.204,0,0,
0.205,0,0,
0.206,0,0,
0.207,0,0,
0.208,0,0,
0.209,0,0,
0.21,0,0,
0.211,0,0,
0.212,0,0,
0.213,0,0,
0.214,0,0,
0.215276,0,0,
0.216737,0,0,
0.217606,0,0,
0.218347,0,0,
0.219,0,0,
0.22,0,0,
0.221032,0,0,
0.222,0,0,
0.223,0,0,
0.224,0,0,
0.225,0,0,
0.226,0,0,
0.227,0,0,
0.228,0,0,
0.229,0,0,
0.230026,0,0,
0.231,0,0,
0.232,0,0,
0.233,0,0,
0.234,0,0,
0.235,0,0,
0.236,0,0,
0.237209,0,0,
0.238,0,0,
0.239,0,0,
0.24,0,0,
0.241,0,0,
0.242,0,0,
0.243,0,0,
0.244,0,0,
0.245,0,0,
0.246,0,0,
0.247,0,0,
0.248,0,0,
0.249,0,0,
0.25,0,0,
0.251,0,0,
0.252,0,0,
0.253,0,0,
0.254,0,0,
0.255,0,0,
0.256,0,0,
0.257,0,0,
0.258,0,0,
0.259,0,0,
0.26,0,0,
0.261,0,0,
0.262,0,0,
0.263,0,0,
0.264,0,0,
0.265,0,0,
0.266,0,0,
0.267,0,0,
0.268,0,0,
0.269,0,0,
0.27,0,0,
0.271,0,0,
0.272,0,0,
0.273,0,0,
0.274,0,0,
0.275,0,0,
0.276,0,0,
0.277,0,0,
0.278,0,0,
0.279,0,0,
0.28,0,0,
0.281,0,0,
0.282,0,0,
0.283,0,0,
0.284,0,0,
0.285,0,0,
0.286,0,0,
0.287,0,0,
0.288,0,0,
0.289,0,0,
0.29,0,0,
0.291,0,0,
0.292,0,0,
0.293,0,0,
0.294,0,0,
0.295,0,0,
0.296,0,0,
0.297,0,0,
0.298,0,0,
0.299,0,0,
0.300169,0,0,
0.301097,0,0,
0.302,0,0,
0.303,0,0,
0.304,0,0,
0.305,0,0,
0.30607,0,0,
0.307085,0,0,
0.308331,0,0,
0.309387,0,0,
0.31071,0,0,
0.311832,0,0,
0.312948,0,0,
0.3135,0,0,
0.314059,0,0,
0.315,0,0,
0.316,0,0,
0.317,0,0,
0.318,0,0,
0.319,0,0,
0.32,0,0,
0.321,0,0,
0.322,0,0,
0.323,0,0,
0.324,0,0,
0.325,0,0,
0.326,0,0,
0.327,0,0,
0.328,0,0,
0.329,0,0,
0.33,0,0,
0.331,0,0,
0.332,0,0,
0.333,0,0,
0.334,0,0,
0.335,0,0,
0.336,0,0,
0.337,0,0,
0.338,0,0,
0.339,0,0,
0.34,0,0,
0.341,0,0,
0.342,0,0,
0.343,0,0,
0.344,0,0,
0.345,0,0,
0.346,0,0,
0.347,0,0,
0.34861,0,0,
0.349882,0,0,
0.350923,0,0,
0.351502,0,0,
0.352007,0,0,
0.353,0,0,
0.354,0,0,
0.355,0,0,
0.356,0,0,
0.357,0,0,
0.358,0,0,
0.359,0,0,
0.36,0,0,
0.361,0,0,
0.362,0,0,
0.363,0,0,
0.364,0,0,
0.365,0,0,
0.366,0,0,
0.367,0,0,
0.368,0,0,
0.369,0,0,
0.37,0,0,
0.371,0,0,
0.372,0,0,
0.373,0,0,
